country,year,total_populist,total_cp,total_rwp,total_lwp
AUT,2011,0,0,0,0
AUT,2012,1,0,1,0
AUT,2013,1,0,1,0
AUT,2014,1,0,1,0
AUT,2015,1,0,1,0
AUT,2016,1,0,1,0
AUT,2017,1,0,1,0
AUT,2018,1,0,1,0
AUT,2019,1,0,1,0
AUT,2020,1,0,1,0
BEL,2011,0,0,0,0
BEL,2012,1,0,1,0
BEL,2013,2,0,2,0
BEL,2014,3,0,3,0
BEL,2015,3,0,3,0
BEL,2016,3,0,3,0
BEL,2017,3,0,3,0
BEL,2018,3,0,3,0
BEL,2019,3,0,3,0
BEL,2020,3,0,3,0
BGR,2010,1,1,0,0
BGR,2011,1,1,0,0
BGR,2012,1,1,0,0
BGR,2013,3,2,1,0
BGR,2014,3,2,1,0
BGR,2015,3,2,1,0
BGR,2016,4,2,2,0
BGR,2017,4,2,2,0
BGR,2018,4,2,2,0
BGR,2019,4,2,2,0
BGR,2020,4,2,2,0
CHE,2010,1,1,0,0
CHE,2011,1,1,0,0
CHE,2012,3,1,2,0
CHE,2013,3,1,2,0
CHE,2014,3,1,2,0
CHE,2015,3,1,2,0
CHE,2016,3,1,2,0
CHE,2017,3,1,2,0
CHE,2018,3,1,2,0
CHE,2019,3,1,2,0
CHE,2020,3,1,2,0
CZE,2010,0,0,0,0
CZE,2011,0,0,0,0
CZE,2012,2,2,0,0
CZE,2013,2,2,0,0
CZE,2014,3,2,1,0
CZE,2015,4,2,2,0
CZE,2016,5,2,3,0
CZE,2017,5,2,3,0
CZE,2018,5,2,3,0
CZE,2019,4,1,3,0
CZE,2020,4,1,3,0
DEU,2010,0,0,0,0
DEU,2011,0,0,0,0
DEU,2012,1,0,0,1
DEU,2013,2,0,1,1
DEU,2014,2,0,1,1
DEU,2015,2,0,1,1
DEU,2016,2,0,1,1
DEU,2017,2,0,1,1
DEU,2018,2,0,1,1
DEU,2019,2,0,1,1
DEU,2020,2,0,1,1
DNK,2010,0,0,0,0
DNK,2011,0,0,0,0
DNK,2012,1,0,1,0
DNK,2013,2,0,2,0
DNK,2014,2,0,2,0
DNK,2015,3,0,3,0
DNK,2016,3,0,3,0
DNK,2017,2,0,2,0
DNK,2018,2,0,2,0
DNK,2019,2,0,2,0
DNK,2020,2,0,2,0
ESP,2010,0,0,0,0
ESP,2011,0,0,0,0
ESP,2012,0,0,0,0
ESP,2013,0,0,0,0
ESP,2014,2,0,1,1
ESP,2015,4,0,1,3
ESP,2016,4,0,1,3
ESP,2017,4,0,1,3
ESP,2018,4,0,1,3
ESP,2019,4,0,1,3
ESP,2020,4,0,1,3
EST,2010,0,0,0,0
EST,2011,0,0,0,0
EST,2012,1,0,1,0
EST,2013,1,0,1,0
EST,2014,1,0,1,0
EST,2015,1,0,1,0
EST,2016,1,0,1,0
EST,2017,1,0,1,0
EST,2018,1,0,1,0
EST,2019,1,0,1,0
EST,2020,1,0,1,0
FIN,2010,0,0,0,0
FIN,2011,0,0,0,0
FIN,2012,1,0,1,0
FIN,2013,1,0,1,0
FIN,2014,1,0,1,0
FIN,2015,1,0,1,0
FIN,2016,1,0,1,0
FIN,2017,2,1,1,0
FIN,2018,2,1,1,0
FIN,2019,2,1,1,0
FIN,2020,2,1,1,0
FRA,2010,0,0,0,0
FRA,2011,0,0,0,0
FRA,2012,1,0,1,0
FRA,2013,1,0,1,0
FRA,2014,1,0,1,0
FRA,2015,2,0,2,0
FRA,2016,3,0,2,1
FRA,2017,3,0,2,1
FRA,2018,3,0,2,1
FRA,2019,3,0,2,1
FRA,2020,3,0,2,1
GBR,2010,0,0,0,0
GBR,2011,0,0,0,0
GBR,2012,1,0,1,0
GBR,2013,1,0,1,0
GBR,2014,1,0,1,0
GBR,2015,1,0,1,0
GBR,2016,1,0,1,0
GBR,2017,1,0,1,0
GBR,2018,1,0,1,0
GBR,2019,1,0,1,0
GBR,2020,1,0,1,0
GRC,2010,0,0,0,0
GRC,2011,0,0,0,0
GRC,2012,2,1,0,1
GRC,2013,2,1,0,1
GRC,2014,2,1,0,1
GRC,2015,2,1,0,1
GRC,2016,4,1,2,1
GRC,2017,4,1,2,1
GRC,2018,5,1,2,2
GRC,2019,5,1,2,2
GRC,2020,5,1,2,2
HRV,2010,2,0,1,1
HRV,2011,2,0,1,1
HRV,2012,4,2,1,1
HRV,2013,4,2,1,1
HRV,2014,4,2,1,1
HRV,2015,4,2,1,1
HRV,2016,4,2,1,1
HRV,2017,4,2,1,1
HRV,2018,4,2,1,1
HRV,2019,4,2,1,1
HRV,2020,4,2,1,1
HUN,2010,1,0,1,0
HUN,2011,1,0,1,0
HUN,2012,2,0,2,0
HUN,2013,2,0,2,0
HUN,2014,2,0,2,0
HUN,2015,2,0,2,0
HUN,2016,2,0,2,0
HUN,2017,2,0,2,0
HUN,2018,3,0,3,0
HUN,2019,3,0,3,0
HUN,2020,3,0,3,0
IRL,2011,1,0,0,1
IRL,2012,1,0,0,1
IRL,2013,1,0,0,1
IRL,2014,1,0,0,1
IRL,2015,1,0,0,1
IRL,2016,1,0,0,1
IRL,2017,1,0,0,1
IRL,2018,1,0,0,1
IRL,2019,1,0,0,1
IRL,2020,1,0,0,1
ITA,2010,1,1,0,0
ITA,2011,1,1,0,0
ITA,2012,3,1,2,0
ITA,2013,4,2,2,0
ITA,2014,4,2,2,0
ITA,2015,4,2,2,0
ITA,2016,4,2,2,0
ITA,2017,4,2,2,0
ITA,2018,4,2,2,0
ITA,2019,4,2,2,0
ITA,2020,4,2,2,0
LTU,2010,0,0,0,0
LTU,2011,0,0,0,0
LTU,2012,2,2,0,0
LTU,2013,2,2,0,0
LTU,2014,2,2,0,0
LTU,2015,2,2,0,0
LTU,2016,4,4,0,0
LTU,2017,4,4,0,0
LTU,2018,3,3,0,0
LTU,2019,3,3,0,0
LTU,2020,3,3,0,0
LUX,2011,0,0,0,0
LUX,2012,1,1,0,0
LUX,2013,1,1,0,0
LUX,2014,1,1,0,0
LUX,2015,1,1,0,0
LUX,2016,1,1,0,0
LUX,2017,1,1,0,0
LUX,2018,1,1,0,0
LUX,2019,1,1,0,0
LUX,2020,1,1,0,0
LVA,2012,0,0,0,0
LVA,2013,0,0,0,0
LVA,2014,0,0,0,0
LVA,2015,0,0,0,0
LVA,2016,1,1,0,0
LVA,2017,1,1,0,0
LVA,2018,1,1,0,0
LVA,2019,1,1,0,0
LVA,2020,1,1,0,0
MLT,2012,0,0,0,0
MLT,2013,0,0,0,0
MLT,2014,0,0,0,0
MLT,2015,0,0,0,0
MLT,2016,0,0,0,0
MLT,2017,0,0,0,0
MLT,2018,0,0,0,0
MLT,2019,0,0,0,0
MLT,2020,0,0,0,0
NIR,2011,1,0,0,1
NIR,2012,1,0,0,1
NIR,2013,1,0,0,1
NIR,2014,1,0,0,1
NIR,2015,1,0,0,1
NIR,2016,1,0,0,1
NIR,2017,1,0,0,1
NIR,2018,1,0,0,1
NIR,2019,1,0,0,1
NIR,2020,1,0,0,1
NLD,2010,1,0,0,1
NLD,2011,1,0,0,1
NLD,2012,1,0,0,1
NLD,2013,1,0,0,1
NLD,2014,1,0,0,1
NLD,2015,2,0,1,1
NLD,2016,3,0,2,1
NLD,2017,3,0,2,1
NLD,2018,3,0,2,1
NLD,2019,3,0,2,1
NLD,2020,3,0,2,1
NOR,2010,0,0,0,0
NOR,2011,0,0,0,0
NOR,2012,1,0,1,0
NOR,2013,1,0,1,0
NOR,2014,2,1,1,0
NOR,2015,2,1,1,0
NOR,2016,2,1,1,0
NOR,2017,2,1,1,0
NOR,2018,2,1,1,0
NOR,2019,2,1,1,0
NOR,2020,2,1,1,0
POL,2010,0,0,0,0
POL,2011,0,0,0,0
POL,2012,1,0,1,0
POL,2013,1,0,1,0
POL,2014,1,0,1,0
POL,2015,2,0,2,0
POL,2016,3,1,2,0
POL,2017,3,1,2,0
POL,2018,3,1,2,0
POL,2019,3,1,2,0
POL,2020,3,1,2,0
PRT,2012,0,0,0,0
PRT,2013,0,0,0,0
PRT,2014,0,0,0,0
PRT,2015,0,0,0,0
PRT,2016,0,0,0,0
PRT,2017,0,0,0,0
PRT,2018,1,0,1,0
PRT,2019,1,0,1,0
PRT,2020,1,0,1,0
ROU,2011,0,0,0,0
ROU,2012,0,0,0,0
ROU,2013,0,0,0,0
ROU,2014,0,0,0,0
ROU,2015,2,0,2,0
ROU,2016,2,0,2,0
ROU,2017,1,0,1,0
ROU,2018,0,0,0,0
ROU,2019,0,0,0,0
ROU,2020,0,0,0,0
SVK,2010,1,1,0,0
SVK,2011,1,1,0,0
SVK,2012,3,2,1,0
SVK,2013,3,2,1,0
SVK,2014,3,2,1,0
SVK,2015,4,2,2,0
SVK,2016,4,2,2,0
SVK,2017,4,2,2,0
SVK,2018,4,2,2,0
SVK,2019,4,2,2,0
SVK,2020,4,2,2,0
SVN,2010,0,0,0,0
SVN,2011,0,0,0,0
SVN,2012,2,0,1,1
SVN,2013,2,0,1,1
SVN,2014,3,0,1,2
SVN,2015,3,0,1,2
SVN,2016,3,0,1,2
SVN,2017,3,0,1,2
SVN,2018,5,1,2,2
SVN,2019,5,1,2,2
SVN,2020,5,1,2,2
SWE,2012,0,0,0,0
SWE,2013,0,0,0,0
SWE,2014,1,0,1,0
SWE,2015,1,0,1,0
SWE,2016,1,0,1,0
SWE,2017,1,0,1,0
SWE,2018,1,0,1,0
SWE,2019,1,0,1,0
SWE,2020,1,0,1,0
