party_name,partyfacts_id,year,vote_share,seats,cabinet_party,prime_minister,parlgov_id
Sinn Fein,1257,2007,26.2,28,1,1,689
Sinn Fein,1257,2011,26.3,29,1,1,689
Sinn Fein,1257,2016,24,28,1,1,689
Sinn Fein,1257,2017,27.9,27,1,1,689
Alliance Party,3257,2007,5.2,7,1,0,2731
Alliance Party,3257,2011,7.7,8,1,0,2731
Alliance Party,3257,2016,7,8,0,0,2731
Alliance Party,3257,2017,9.1,8,1,0,2731
Ulster Unionists,1763,2007,14.9,18,1,0,1210
Ulster Unionists,1763,2011,13.2,16,1,0,1210
Ulster Unionists,1763,2016,12.6,16,0,0,1210
Ulster Unionists,1763,2017,12.9,10,1,0,1210
Social Democratic Labour Party (SDLP),266,2007,15.2,16,1,0,1023
Social Democratic Labour Party (SDLP),266,2011,14.2,14,1,0,1023
Social Democratic Labour Party (SDLP),266,2016,12,12,0,0,1023
Social Democratic Labour Party (SDLP),266,2017,11.9,12,1,0,1023
Democratic Unionist Party,667,2007,30.1,36,1,1,319
Democratic Unionist Party,667,2011,30,38,1,1,319
Democratic Unionist Party,667,2016,29.2,38,1,1,319
Democratic Unionist Party,667,2017,28.1,28,1,1,319
NI Conservatives,694,2007,0.5,0,0,0,5003
NI Conservatives,694,2011,0,0,0,0,5003
NI Conservatives,694,2016,0.4,0,0,0,5003
NI Conservatives,694,2017,0.3,0,0,0,5003
Progressive Unionist Party (PUP),642,2007,0.6,1,0,0,5007
Progressive Unionist Party (PUP),642,2011,0.2,0,0,0,5007
Progressive Unionist Party (PUP),642,2016,0.9,0,0,0,5007
Progressive Unionist Party (PUP),642,2017,0.7,0,0,0,5007